PERIOD;INDICATOR;DIMENSION;VALUE
2019-10-01/2020-04-01;30106_ind01;30106_dim04;97.7
1997-05-01/1997-11-01;30106_ind01;30106_dim05;2.385964912
1997-11-01/1998-05-01;30106_ind01;30106_dim05;4.400109319
1998-05-01/1998-11-01;30106_ind01;30106_dim05;5.997638725
1998-11-01/1999-05-01;30106_ind01;30106_dim05;7.277486911
1999-03-01/1999-10-01;30106_ind01;30106_dim05;7.94864791
1999-10-01/2000-04-01;30106_ind01;30106_dim05;19.9
2000-04-01/2000-10-01;30106_ind01;30106_dim05;
2000-10-01/2001-04-01;30106_ind01;30106_dim05;30.38413098
2001-04-01/2001-10-01;30106_ind01;30106_dim05;
2001-10-01/2002-04-01;30106_ind01;30106_dim05;36.02800764
2002-04-01/2002-10-01;30106_ind01;30106_dim05;
2002-10-01/2003-04-01;30106_ind01;30106_dim05;41.02564103
2003-04-01/2003-10-01;30106_ind01;30106_dim05;
2003-10-01/2004-04-01;30106_ind01;30106_dim05;45.97887896
2004-04-01/2004-10-01;30106_ind01;30106_dim05;51.9
2004-10-01/2005-04-01;30106_ind01;30106_dim05;52.6
2005-04-01/2005-10-01;30106_ind01;30106_dim05;54.8
2005-10-01/2006-04-01;30106_ind01;30106_dim05;58.4
2006-04-01/2006-10-01;30106_ind01;30106_dim05;63.7
2006-10-01/2007-04-01;30106_ind01;30106_dim05;63.1
2007-04-01/2007-10-01;30106_ind01;30106_dim05;66
2007-10-01/2008-04-01;30106_ind01;30106_dim05;64.9
2008-04-01/2008-10-01;30106_ind01;30106_dim05;69.6
2008-10-01/2009-04-01;30106_ind01;30106_dim05;70.7
2009-04-01/2009-10-01;30106_ind01;30106_dim05;72.6
2009-10-01/2010-04-01;30106_ind01;30106_dim05;73.1
2010-04-01/2010-10-01;30106_ind01;30106_dim05;79.1
2010-10-01/2011-04-01;30106_ind01;30106_dim05;76.5
2011-04-01/2011-10-01;30106_ind01;30106_dim05;78.2
2011-10-01/2012-04-01;30106_ind01;30106_dim05;79.7
2012-04-01/2012-10-01;30106_ind01;30106_dim05;77.7
2012-10-01/2013-04-01;30106_ind01;30106_dim05;80.2
2013-04-01/2013-10-01;30106_ind01;30106_dim05;80.1
2013-10-01/2014-04-01;30106_ind01;30106_dim05;80.8
2014-04-01/2014-10-01;30106_ind01;30106_dim05;83.2
2014-10-01/2015-04-01;30106_ind01;30106_dim05;83.7
2015-04-01/2015-10-01;30106_ind01;30106_dim05;83.4
2015-10-01/2016-04-01;30106_ind01;30106_dim05;85.9
2016-04-01/2016-10-01;30106_ind01;30106_dim05;86.6
2016-10-01/2017-04-01;30106_ind01;30106_dim05;85.8
2017-04-01/2017-10-01;30106_ind01;30106_dim05;88.4
2017-10-01/2018-04-01;30106_ind01;30106_dim05;88.5
2018-04-01/2018-10-01;30106_ind01;30106_dim05;88.5
2018-10-01/2019-04-01;30106_ind01;30106_dim05;90
2019-04-01/2019-10-01;30106_ind01;30106_dim05;93.3
2019-10-01/2020-04-01;30106_ind01;30106_dim05;92.9
1997-05-01/1997-11-01;30106_ind01;30106_dim06;
1997-11-01/1998-05-01;30106_ind01;30106_dim06;
1998-05-01/1998-11-01;30106_ind01;30106_dim06;
1998-11-01/1999-05-01;30106_ind01;30106_dim06;
1999-03-01/1999-10-01;30106_ind01;30106_dim06;
1999-10-01/2000-04-01;30106_ind01;30106_dim06;7.554517134
2000-04-01/2000-10-01;30106_ind01;30106_dim06;
